,material_id,elasticity.K_VRH
0,mp-10,80
1,mp-1000,26
2,mp-10010,175
3,mp-1001602,239
4,mp-1001784,54
5,mp-10074,10
6,mp-1007823,206
7,mp-1007923,222
8,mp-1008680,142
9,mp-1008925,54
10,mp-1009079,70
11,mp-1009087,74
12,mp-1009458,197
13,mp-1009548,188
14,mp-1009894,135
15,mp-1013529,22
16,mp-1013564,575
17,mp-1013587,182
18,mp-1013702,24
19,mp-1013703,24
20,mp-1016108,154
21,mp-1016833,143
22,mp-1016837,200
23,mp-1016845,232
24,mp-1016881,165
25,mp-1016904,574
26,mp-1017533,143
27,mp-1017540,83
28,mp-1017985,111
29,mp-1018050,342
30,mp-1018059,35
31,mp-1018067,184
32,mp-1018639,178
33,mp-1018949,16
34,mp-1019,121
35,mp-1019086,83
36,mp-1019277,40
37,mp-1019740,329
38,mp-1020622,144
39,mp-1024039,136
40,mp-1025205,149
41,mp-1025296,149
42,mp-1025348,126
43,mp-1025356,185
44,mp-1025370,227
45,mp-1025375,64
46,mp-10266,213
47,mp-1029262,152
48,mp-1029330,159
49,mp-1029334,132
50,mp-1029520,123
51,mp-1029531,59
52,mp-1029532,88
53,mp-1029750,62
54,mp-1039119,67
55,mp-10435,77
56,mp-10437,54
57,mp-10474,20
58,mp-1055,59
59,mp-10601,79
60,mp-10694,89
61,mp-10886,102
62,mp-10887,134
63,mp-109,99
64,mp-11025,68
65,mp-11073,122
66,mp-11273,155
67,mp-11278,187
68,mp-11304,103
69,mp-11441,117
70,mp-11445,95
71,mp-1145,253
72,mp-11499,43
73,mp-11512,135
74,mp-11547,83
75,mp-11690,179
76,mp-11695,20
77,mp-11798,128
78,mp-11816,26
79,mp-11820,8
80,mp-11882,82
81,mp-12015,50
82,mp-12137,70
83,mp-1224,24
84,mp-12283,24
85,mp-1249,95
86,mp-12520,72
87,mp-1281,274
88,mp-12990,137
89,mp-13109,167
90,mp-1315,74
91,mp-13203,84
92,mp-13272,44
93,mp-1334,61
94,mp-13512,75
95,mp-13548,12
96,mp-1407,77
97,mp-14091,52
98,mp-14168,23
99,mp-1444,34
100,mp-1451,211
101,mp-14600,74
102,mp-1500,41
103,mp-1543,115
104,mp-15637,34
105,mp-15686,50
106,mp-1585,211
107,mp-1590,126
108,mp-15965,141
109,mp-1620,218
110,mp-16266,55
111,mp-16523,156
112,mp-16565,52
113,mp-16733,86
114,mp-16740,148
115,mp-16764,27
116,mp-1722,86
117,mp-17413,205
118,mp-17701,71
119,mp-18093,226
120,mp-18105,9
121,mp-1867,215
122,mp-18695,184
123,mp-1871,221
124,mp-18927,147
125,mp-19009,204
126,mp-19069,127
127,mp-19083,34
128,mp-19102,111
129,mp-19252,29
130,mp-19276,56
131,mp-1935,22
132,mp-19359,114
133,mp-19405,126
134,mp-19722,66
135,mp-19870,174
136,mp-19896,42
137,mp-20,124
138,mp-20098,85
139,mp-20131,195
140,mp-20155,101
141,mp-20456,95
142,mp-20466,135
143,mp-20479,47
144,mp-20481,133
145,mp-20566,40
146,mp-20679,206
147,mp-20695,97
148,mp-20724,35
149,mp-20897,94
150,mp-20944,92
151,mp-21067,95
152,mp-21167,194
153,mp-21297,68
154,mp-21301,118
155,mp-21855,36
156,mp-2187,89
157,mp-219,219
158,mp-22060,153
159,mp-2225,158
160,mp-22284,62
161,mp-22289,184
162,mp-22320,201
163,mp-22346,75
164,mp-22441,119
165,mp-22568,168
166,mp-22648,68
167,mp-22722,195
168,mp-22739,51
169,mp-22759,335
170,mp-22978,20
171,mp-23053,7
172,mp-23060,8
173,mp-2319,209
174,mp-2352,46
175,mp-2363,200
176,mp-23737,35
177,mp-23860,59
178,mp-23870,22
179,mp-23922,25
180,mp-24066,36
181,mp-24390,72
182,mp-24723,226
183,mp-25417,133
184,mp-2560,117
185,mp-2624,49
186,mp-2664,224
187,mp-27253,81
188,mp-27693,190
189,mp-27827,11
190,mp-27830,23
191,mp-27835,13
192,mp-2784,10
193,mp-27850,29
194,mp-2794,233
195,mp-28145,11
196,mp-2874,152
197,mp-28797,85
198,mp-29069,58
199,mp-29157,123
200,mp-29356,144
201,mp-29455,152
202,mp-29463,94
203,mp-29618,205
204,mp-2979,163
205,mp-29898,18
206,mp-30066,140
207,mp-30208,105
208,mp-30356,41
209,mp-30363,45
210,mp-30405,58
211,mp-30409,114
212,mp-30449,57
213,mp-30501,91
214,mp-30726,59
215,mp-30745,351
216,mp-30746,129
217,mp-30817,104
218,mp-30834,56
219,mp-30840,157
220,mp-30842,169
221,mp-3104,100
222,mp-31187,185
223,mp-31337,69
224,mp-31348,65
225,mp-31452,104
226,mp-31458,141
227,mp-31459,163
228,mp-3416,51
229,mp-34240,27
230,mp-34418,23
231,mp-34903,64
232,mp-3553,26
233,mp-35869,292
234,mp-365,159
235,mp-370,73
236,mp-37473,135
237,mp-3771,163
238,mp-37879,47
239,mp-38843,174
240,mp-3955,29
241,mp-40143,13
242,mp-417,182
243,mp-4170,211
244,mp-4343,54
245,mp-4448,80
246,mp-4475,47
247,mp-46,113
248,mp-4627,139
249,mp-468,45
250,mp-4691,45
251,mp-4784,146
252,mp-4953,52
253,mp-4962,113
254,mp-504543,116
255,mp-505820,118
256,mp-5077,29
257,mp-510623,223
258,mp-5186,100
259,mp-5372,17
260,mp-540,128
261,mp-540957,8
262,mp-545820,34
263,mp-5479,56
264,mp-550893,248
265,mp-551830,168
266,mp-552185,35
267,mp-553243,66
268,mp-553896,32
269,mp-554352,58
270,mp-554769,56
271,mp-555064,44
272,mp-556536,45
273,mp-558694,35
274,mp-559051,106
275,mp-559998,133
276,mp-560588,69
277,mp-561242,77
278,mp-561258,70
279,mp-561480,74
280,mp-5670,132
281,mp-567278,148
282,mp-567347,84
283,mp-567601,51
284,mp-567842,137
285,mp-567889,112
286,mp-568328,139
287,mp-568333,8
288,mp-568556,209
289,mp-568711,180
290,mp-568747,40
291,mp-568914,12
292,mp-568936,58
293,mp-568940,140
294,mp-568986,7
295,mp-569346,39
296,mp-569360,8
297,mp-569408,44
298,mp-569581,31
299,mp-569834,74
300,mp-5699,43
301,mp-570122,30
302,mp-570199,162
303,mp-570436,163
304,mp-570538,30
305,mp-570632,58
306,mp-570690,213
307,mp-570713,162
308,mp-571102,12
309,mp-571124,4
310,mp-5723,138
311,mp-5748,164
312,mp-5971,159
313,mp-600561,108
314,mp-601820,187
315,mp-6073,160
316,mp-613327,319
317,mp-616440,436
318,mp-616559,147
319,mp-626689,44
320,mp-631,253
321,mp-631362,146
322,mp-631411,203
323,mp-638,53
324,mp-6459,89
325,mp-672287,32
326,mp-673624,77
327,mp-673635,200
328,mp-675,215
329,mp-675172,212
330,mp-690536,123
331,mp-6908,55
332,mp-6953,87
333,mp-696,174
334,mp-6962,64
335,mp-697068,180
336,mp-7067,50
337,mp-7173,110
338,mp-72,113
339,mp-7204,69
340,mp-729,249
341,mp-7374,58
342,mp-741,225
343,mp-7424,179
344,mp-7429,44
345,mp-7432,37
346,mp-7474,108
347,mp-752953,134
348,mp-753315,156
349,mp-753746,5
350,mp-753798,43
351,mp-7542,47
352,mp-754483,29
353,mp-754759,138
354,mp-754850,52
355,mp-755552,66
356,mp-756018,79
357,mp-757100,71
358,mp-758052,76
359,mp-7582,21
360,mp-761285,139
