,materials id,K_VRH,G_VRH
0,mp-867251,93.30102539,38.71524811
1,mp-568177,55.77607346,33.14467621
2,mp-31498,55.82186508,21.09315491
3,mp-9248,57.77578354,28.91436005
4,mp-1025203,55.43977737,41.28876495
5,mp-1002165,166.1959534,116.535408
6,mp-30461,85.32594299,19.7540741
7,mp-28954,43.08912277,17.69734955
8,mp-1008568,99.31934357,44.96727753
9,mp-1025270,218.91220090000002,73.67940521
10,mp-5748,163.05093380000002,56.82544327
11,mp-7000,75.82577515,40.62335205
12,mp-510430,16.72032166,16.60877228
13,mp-29374,32.50543213,16.67381287
14,mp-763051,92.0382309,50.73209
15,mp-4355,182.3659515,73.62106323
16,mp-571619,175.69876100000002,75.39347076
17,mp-972877,104.3161926,54.32284164
18,mp-754009,122.0707321,51.316574100000004
19,mp-10919,22.91387939,10.54688263
20,mp-2691,18.08052826,16.27210617
21,mp-7343,59.58982086,31.61950111
22,mp-632311,177.7167358,38.313564299999996
23,mp-866171,77.43747711,28.85864639
24,mp-5839,104.9302139,51.11672592
25,mp-10264,52.17789841,32.15422058
26,mp-776097,195.23890690000002,72.288414
27,mp-1029562,68.65771484,56.34794235
28,mp-7863,32.4895401,22.19814682
29,mp-865448,227.12902830000002,97.64457703
30,mp-504580,146.45585630000002,49.77137756
31,mp-771,149.9259644,105.73231509999998
32,mp-999118,309.69195560000003,118.3273087
33,mp-1013911,58.83927155,28.78184319
34,mp-568827,151.62420649999999,140.8374176
35,mp-1025397,177.2350769,80.88796234
36,mp-3515,157.54350280000003,91.5995636
37,mp-30656,162.3686523,55.66342545
38,mp-30405,44.60577011,22.83129883
39,mp-865731,52.07294464,18.15903854
40,mp-15819,116.595253,79.83362579
41,mp-1009130,160.9379272,53.0484581
42,mp-3759,157.3646545,96.14247894
43,mp-978986,87.57404327,35.39794159
44,mp-4500,162.11511230000002,81.07603455
45,mp-978493,237.3914337,125.3343048
46,mp-981367,106.5406723,52.15788269
47,mp-19880,62.67268372,49.10634613
48,mp-861645,28.16434479,25.05807495
49,mp-13725,54.97042084,38.00463104
50,mp-754531,112.2029953,56.93848038
51,mp-769111,130.6383209,52.77253723
52,mp-6961,62.2257843,29.73954964
53,mp-556927,42.56147003,29.64602661
54,mp-7298,65.25028229,32.4230423
55,mp-4495,21.26358032,14.59829712
56,mp-24668,16.94288635,11.01315308
57,mp-1019508,151.3553619,85.84585571
58,mp-998908,153.922348,45.05910873
59,mp-985280,139.53237919999998,76.141922
60,mp-631329,139.6781921,76.57266235
61,mp-12781,94.63207245,63.11463928
62,mp-40143,33.68534088,16.31253433
63,mp-8874,78.15439606,53.06694412
64,mp-18943,80.62251282,32.48703766
65,mp-633538,212.54876710000002,195.4141846
66,mp-867169,32.70511627,23.37178802
67,mp-30366,23.28300476,16.52455521
68,mp-3698,50.151241299999995,34.21121979
69,mp-54,202.5049744,123.9908447
70,mp-13202,72.38620758,38.11297989
71,mp-1476,93.41226959,56.42699051
72,mp-558137,115.6499557,46.82501984
73,mp-4529,21.70878601,11.05716705
74,mp-1002109,206.8453064,76.45410919
75,mp-994,65.63963318,38.99707794
76,mp-604516,90.76502991,45.84293747
77,mp-1016836,184.91244509999999,46.48284531
78,mp-974584,168.1882019,32.94382095
79,mp-11288,28.31560516,21.05494308
80,mp-551918,157.9737701,86.10417175
81,mp-2449,231.36116030000002,121.0773544
82,mp-18750,142.90180969999997,48.67778778
83,mp-982725,246.19268799999998,105.9596252
84,mp-7390,39.34616089,29.91064072
85,mp-3159,20.21302795,23.179039000000003
86,mp-5621,57.22154617,25.97747993
87,mp-24082,189.7328796,46.02300262
88,mp-21374,21.892105100000002,14.57395172
89,mp-1002222,121.7176743,47.61887741
90,mp-30449,50.44114685,26.71734047
91,mvc-13997,149.69454960000002,60.66389465
92,mp-23709,31.74261475,10.41483688
93,mp-21096,63.89541626,42.21647644
94,mp-13164,143.7747345,52.54807663
95,mp-631412,178.5864258,81.56162262
96,mp-755974,52.04527283,24.45714951
97,mp-1008554,110.18777469999999,84.24557495
98,mp-558781,191.502655,72.01506042
99,mp-1016876,213.74201969999996,87.52902222
100,mp-12777,122.19996640000001,46.77529144
101,mp-606393,2.995864868,13.34159851
102,mp-1782,68.50062561,39.62260437
103,mvc-13158,138.1452179,74.80148315
104,mp-1224,62.99227524,16.05267334
105,mp-1001916,147.3084106,47.85338974
106,mp-952,278.0610352,119.3525696
107,mvc-13442,83.38195801,22.13504791
108,mp-752426,27.19606018,21.56712723
109,mp-756490,24.03363037,18.35060501
110,mp-543024,12.98683929,9.620826721
111,mp-4405,16.22535706,4.08795166
112,mp-22739,55.72602844,44.32060623
113,mp-865600,107.94444270000001,37.9327774
114,mp-561664,3.4807357789999998,3.7880783080000002
115,mp-11229,56.20700836,46.32576752
116,mp-9010,12.94246674,7.566768646
117,mp-567220,115.6069794,66.34067535
118,mp-983590,166.3565979,146.9309845
