material_id,elasticity.K_VRH,elasticity.G_VRH,composition
mp-10,80,43,As1
mp-1000,26,16,Ba1 Te1
mp-10010,175,96,Al1 Co2 Si2
mp-1001602,239,115,B12 W1
mp-1001784,54,39,Li1 Ti1 S2
mp-10074,10,12,Ge1 Se2
mp-1007823,206,176,Ga1 B1 N2
mp-1007923,222,105,Cr1 Ni3
mp-1008680,142,50,Ti1 Ge1 Pt1
mp-1008925,54,70,Li1 Fe1 P1
mp-1009079,70,24,Cr1 Te1
mp-1009087,74,56,Be1 Si1 As2
mp-1009458,197,79,Nb1 C1
mp-1009548,188,46,Pd1 N1
mp-1009894,135,38,Zr1 C1
mp-1013529,22,28,Sr3 N2
mp-1013564,575,17,Sr3 Bi1 As1
mp-1013587,182,43,Sr3 Bi2
mp-1013702,24,12,Ca3 Bi1 P1
mp-1013703,24,12,Ca3 Bi1 As1
mp-1016108,154,55,Ti1 Zn1 N2
mp-1016833,143,51,Ca1 Rh1 O3
mp-1016837,200,52,Sn1 Hg1 O3
mp-1016845,232,43,Zr1 Cd1 O3
mp-1016881,165,68,Cd1 Sn1 O3
mp-1016904,574,68,V1 Cd1 O3
mp-1017533,143,85,Y1 N1
mp-1017540,83,37,Zr1 Cd1
mp-1017985,111,35,Ti1 Ag1
mp-1018050,342,244,Cr1 C1
mp-1018059,35,33,Ga1 Sb1
mp-1018067,184,88,Cr1 Fe3
mp-1018639,178,87,Ti1 Sn1 O3
mp-1018949,16,10,Rb1 Mn1 Bi1
mp-1019,121,47,Y1 Ni2
mp-1019086,83,93,C1 N2
mp-1019277,40,23,Sr1 Hg1 Pb1
mp-1019740,329,229,Ga1 B3 N4
mp-1020622,144,84,Sr1 Zr1 O3
mp-1024039,136,73,Mg3 Al1 O4
mp-1025205,149,71,Y2 Re2 Si2 C1
mp-1025296,149,42,Sn1 P1 Pd5
mp-1025348,126,44,Tl1 P1 Pd5
mp-1025356,185,69,Zn1 As1 Pt5
mp-1025370,227,61,In1 Si1 Pt5
mp-1025375,64,50,Y1 Ga5 Co1
mp-10266,213,105,Zn1 Fe3 C1
mp-1029262,152,61,V1 Zn2 N3
mp-1029330,159,82,Hf2 Se1 N2
mp-1029334,132,64,Zn2 Sb1 N3
mp-1029520,123,48,Mg2 Cr1 N3
mp-1029531,59,28,Sr3 Re1 N3
mp-1029532,88,48,Ca2 Co1 N2
mp-1029750,62,35,Sr3 Ru1 N3
mp-1039119,67,16,Mg1 Al3
mp-10435,77,40,Y1 Al2 Si2
mp-10437,54,21,Ba1 Cu2 Se2
mp-10474,20,10,Na1 P1 F6
mp-1055,59,26,Cd1 Se1
mp-10601,79,64,Y3 Ga1 C1
mp-10694,89,41,Sc1 F3
mp-10886,102,45,Al3 Cu2
mp-10887,134,52,Hf1 Al1 Cu2
mp-109,99,58,Si1
mp-11025,68,42,Zn1 P2
mp-11073,122,56,Ti3 In3 Rh2
mp-11273,155,126,Be3 Nb1
mp-11278,187,117,Ta2 Be1
mp-11304,103,43,Li2 Cd1 Pb1
mp-11441,117,64,Hf2 Ga3
mp-11445,95,59,Y1 Ti2 Ga4
mp-1145,253,253,Ti1 B2
mp-11499,43,23,Y1 Mg2
mp-11512,135,55,Li1 Al2 Ir1
mp-11547,83,29,Y1 Tl1 Pd1
mp-11690,179,129,Tc2 P3
mp-11695,20,7,Rb2 Pd3 S4
mp-11798,128,38,Fe3 Pt1
mp-11816,26,24,Ba1 Cd1 Ge1
mp-11820,8,5,Ba1 Na2
mp-11882,82,14,Ti1 Cu1 Hg2
mp-12015,50,18,K1 Ag2 As1 O4
mp-12137,70,36,Ca1 Zn2 Si2
mp-1224,24,10,Hg1 O1
mp-12283,24,10,Li5 Tl2
mp-1249,95,52,Mg1 F2
mp-12520,72,32,Sr1 Ni2 Ge1
mp-1281,274,123,V1 Ir1
mp-12990,137,112,Ti2 Al1 C1
mp-13109,167,93,Sr1 Hf1 O3
mp-1315,74,52,Mg1 S1
mp-13203,84,55,Sc1 Cu1 Sn1
mp-13272,44,34,Ba1 Al1 Ge1
mp-1334,61,32,Y2 C1
mp-13512,75,36,Ca1 Ni1 Ge2
mp-13548,12,5,Cs2 Pt1
mp-1407,77,47,Rh3 Se8
mp-14091,52,18,Al1 Ag1 Se2
mp-14168,23,11,K2 Ge1 F6
mp-1444,34,16,Ca1 Cd2
mp-1451,211,77,Nb1 Ni3
mp-14600,74,43,Ca1 Al2 O4
mp-1500,41,25,Ba1 S1
mp-1543,115,52,Ge2 Pt1
mp-15637,34,24,Zn1 Rh1 F6
mp-15686,50,37,Li2 Cu1 As1
mp-1585,211,110,V3 Co1
mp-1590,126,144,Be12 Cr1
mp-15965,141,88,Hf5 Si3
mp-1620,218,189,Si2 W1
mp-16266,55,42,Ca1 Zn1 Si1
mp-16523,156,50,Al3 Pd5
mp-16565,52,21,Cd1 Cu2 Sn1 Se4
