"Alpha-2 Titanium Aluminide, Ti3Al","['Aluminum, Al', '15.8 %', '15.8 %', 'by weight']","['Tensile Strength, Ultimate', '800 - 1140 MPa', '116000 - 165000 psi', '']","['Tensile Strength, Yield', '700 - 990 MPa', '102000 - 144000 psi', '']","['Elongation at Break', '0.00 - 10 %', '0.00 - 10 %', '']"
"Alpha-2 Titanium Aluminide, Ti3Al","['Titanium, Ti', '84.2 %', '84.2 %', 'by weight']","['Tensile Strength, Ultimate', '800 - 1140 MPa', '116000 - 165000 psi', '']","['Tensile Strength, Yield', '700 - 990 MPa', '102000 - 144000 psi', '']","['Elongation at Break', '0.00 - 10 %', '0.00 - 10 %', '']"
"Alpha-2 Titanium Aluminide, Ti3Al",['Descriptive Properties'],"['Tensile Strength, Ultimate', '800 - 1140 MPa', '116000 - 165000 psi', '']","['Tensile Strength, Yield', '700 - 990 MPa', '102000 - 144000 psi', '']","['Elongation at Break', '0.00 - 10 %', '0.00 - 10 %', '']"
"Gamma Titanium Aluminide, TiAl","['Aluminum, Al', '36 %', '36 %', '']","['Tensile Strength, Ultimate', '450 - 800 MPa', '65300 - 116000 psi', '']","['Tensile Strength, Yield', '400 - 650 MPa', '58000 - 94300 psi', '']","['Elongation at Break', '0.00 - 4.0 %', '0.00 - 4.0 %', '']"
"Gamma Titanium Aluminide, TiAl","['Titanium, Ti', '64 %', '64 %', '']","['Tensile Strength, Ultimate', '450 - 800 MPa', '65300 - 116000 psi', '']","['Tensile Strength, Yield', '400 - 650 MPa', '58000 - 94300 psi', '']","['Elongation at Break', '0.00 - 4.0 %', '0.00 - 4.0 %', '']"
"Gamma Titanium Aluminide, TiAl",['Descriptive Properties'],"['Tensile Strength, Ultimate', '450 - 800 MPa', '65300 - 116000 psi', '']","['Tensile Strength, Yield', '400 - 650 MPa', '58000 - 94300 psi', '']","['Elongation at Break', '0.00 - 4.0 %', '0.00 - 4.0 %', '']"
Ti-24Al-11Nb Titanium Aluminide,"['Aluminum, Al', '13.5 %', '13.5 %', 'by weight']","['Tensile Strength, Ultimate', '824 MPa', '120000 psi', 'Widmanstätten microstructure']","['Tensile Strength, Yield', '761 MPa', '110000 psi', 'Fine Widmanstätten microstructure']","['Elongation at Break', '0.7 %', '0.7 %', 'Widmanstätten microstructure']"
Ti-24Al-11Nb Titanium Aluminide,"['Niobium, Nb (Columbium, Cb)', '21.3 %', '21.3 %', 'by weight']","['Tensile Strength, Ultimate', '824 MPa', '120000 psi', 'Widmanstätten microstructure']","['Tensile Strength, Yield', '761 MPa', '110000 psi', 'Fine Widmanstätten microstructure']","['Elongation at Break', '0.7 %', '0.7 %', 'Widmanstätten microstructure']"
Ti-24Al-11Nb Titanium Aluminide,"['Titanium, Ti', '65.1 %', '65.1 %', 'by weight']","['Tensile Strength, Ultimate', '824 MPa', '120000 psi', 'Widmanstätten microstructure']","['Tensile Strength, Yield', '761 MPa', '110000 psi', 'Fine Widmanstätten microstructure']","['Elongation at Break', '0.7 %', '0.7 %', 'Widmanstätten microstructure']"
Ti-24Al-14Nb Titanium Aluminide,"['Aluminum, Al', '13.2 %', '13.2 %', 'by weight']","['Tensile Strength, Ultimate', '977 MPa', '142000 psi', 'Widmanstätten microstructure']","['Tensile Strength, Yield', '831 MPa', '121000 psi', 'Widmanstätten microstructure']","['Elongation at Break', '2.1 %', '2.1 %', 'Widmanstätten microstructure']"
Ti-24Al-14Nb Titanium Aluminide,"['Niobium, Nb (Columbium, Cb)', '26.5 %', '26.5 %', 'by weight']","['Tensile Strength, Ultimate', '977 MPa', '142000 psi', 'Widmanstätten microstructure']","['Tensile Strength, Yield', '831 MPa', '121000 psi', 'Widmanstätten microstructure']","['Elongation at Break', '2.1 %', '2.1 %', 'Widmanstätten microstructure']"
Ti-24Al-14Nb Titanium Aluminide,"['Titanium, Ti', '60.4 %', '60.4 %', 'by weight']","['Tensile Strength, Ultimate', '977 MPa', '142000 psi', 'Widmanstätten microstructure']","['Tensile Strength, Yield', '831 MPa', '121000 psi', 'Widmanstätten microstructure']","['Elongation at Break', '2.1 %', '2.1 %', 'Widmanstätten microstructure']"
Ti-25Al-10Nb-3V-1Mo Titanium Aluminide,"['Aluminum, Al', '14.1 %', '14.1 %', 'by weight']","['Tensile Strength, Ultimate', '907 MPa', '132000 psi', 'Colony structure, primary alpha-2 grains']","['Tensile Strength, Yield', '745 MPa', '108000 psi', 'Colony structure, primary alpha-2 grains']","['Elongation at Break', '0.8 %', '0.8 %', 'Fine Widmanstätten microstructure']"
Ti-25Al-10Nb-3V-1Mo Titanium Aluminide,"['Molybdenum, Mo', '2.0 %', '2.0 %', 'by weight']","['Tensile Strength, Ultimate', '907 MPa', '132000 psi', 'Colony structure, primary alpha-2 grains']","['Tensile Strength, Yield', '745 MPa', '108000 psi', 'Colony structure, primary alpha-2 grains']","['Elongation at Break', '0.8 %', '0.8 %', 'Fine Widmanstätten microstructure']"
Ti-25Al-10Nb-3V-1Mo Titanium Aluminide,"['Niobium, Nb (Columbium, Cb)', '19.5 %', '19.5 %', 'by weight']","['Tensile Strength, Ultimate', '907 MPa', '132000 psi', 'Colony structure, primary alpha-2 grains']","['Tensile Strength, Yield', '745 MPa', '108000 psi', 'Colony structure, primary alpha-2 grains']","['Elongation at Break', '0.8 %', '0.8 %', 'Fine Widmanstätten microstructure']"
