,material_id,elasticity.G_VRH predicted,elasticity.G_VRH
120,mp-27639,2.015392840127412,1.0
1405,mp-861867,3.671026878075668,1.0
2451,mp-644607,2.5,1.0
2223,mp-976423,21.519381571603073,1.0
478,mp-568245,4.5823407087621835,1.0
2023,mp-30953,6.1554844467389,1.0
747,mp-865952,17.121465054592406,1.0
519,mp-1009213,31.0,1.0
212,mp-22848,2.186847544050869,1.0
397,mp-973614,7.834002947266915,1.0
1609,mp-570591,12.819876410411506,1.0
1690,mp-973316,4.75,1.0
1832,mp-30952,2.4328730986230003,1.0
358,mp-23280,2.3108215259943696,1.0
2130,mp-557559,2.5,1.0
463,mp-554134,11.5,2.0
2216,mp-865301,2.742981802750497,2.0
2106,mp-23173,3.0,2.0
178,mp-23223,2.9712465036374525,2.0
1920,mp-32829,7.3080457113620865,2.0
1513,mp-23319,5.979581839042576,2.0
1999,mp-989521,16.10520237831102,2.0
693,mp-631536,47.77201241840171,2.0
533,mp-568002,4.861445268936705,2.0
2074,mp-33107,2.0754434695935955,2.0
1946,mp-27666,9.765339324353468,2.0
430,mp-8560,2.389047981907822,2.0
256,mp-505319,18.35842686977211,2.0
1155,mp-862549,11.306583053998446,2.0
275,mp-21031,34.39642283964277,2.0
281,mp-19736,23.0,2.0
303,mp-13496,33.0,2.0
1610,mp-23264,2.9712465036374525,2.0
1685,mp-29419,6.536069393357598,2.0
15,mp-556034,2.5,2.0
2290,mp-22996,3.0359222673547763,2.0
1469,mp-22883,2.0,2.0
1615,mp-22689,57.0,2.0
2228,mp-1014013,1.0,2.0
916,mp-32780,6.6253528777123085,3.0
887,mp-10367,77.78402533607475,3.0
1119,mp-22863,10.25,3.0
54,mp-865473,4.610484100770616,3.0
1726,mp-865493,3.3411336929326647,3.0
1003,mp-1659,56.579951237665206,3.0
1673,mp-571143,3.0,3.0
1014,mp-1644,32.0,3.0
127,mp-19790,6.606213512248922,3.0
149,mp-975380,44.174561134031755,3.0
705,mp-989529,6.8633307446658565,3.0
639,mp-20716,31.15911087077589,3.0
83,mp-567354,3.0,3.0
2211,mp-568233,3.0,3.0
1292,mp-27830,4.392964506594414,3.0
2227,mp-720,37.67467824825248,3.0
331,mp-10756,58.40129955305817,3.0
1430,mp-861735,14.328015237202752,3.0
684,mp-977194,13.19104281349251,3.0
1463,mp-23247,3.0003113004822612,4.0
2415,mp-510268,5.6646488177179135,4.0
1494,mp-569360,3.25,4.0
1214,mp-570528,32.850418219477746,4.0
1170,mp-31405,25.40438014566568,4.0
2435,mp-135,4.75,4.0
1043,mp-571513,4.0,4.0
238,mp-23060,3.515784506391181,4.0
306,mp-23244,3.8930828938449515,4.0
139,mp-14336,9.295177813112012,4.0
169,mp-971928,21.78556047779573,4.0
960,mp-978917,80.81460830231856,4.0
1763,mvc-13239,45.19502462830202,4.0
553,mp-27934,3.848105084961904,4.0
566,mp-29481,3.6007809451696513,4.0
911,mp-23309,6.006741917671291,4.0
816,mp-20446,36.251995868726894,4.0
806,mp-29145,5.0,4.0
1207,mp-30227,4.386059432875687,4.0
2056,mp-23153,1.6966028321990332,4.0
531,mp-27679,29.63869775167029,4.0
1221,mp-979422,18.01266733603192,5.0
1367,mp-22460,25.658057290218924,5.0
1236,mp-20526,39.5,5.0
1278,mp-1009220,19.0,5.0
1321,mp-23486,4.9845223519231014,5.0
1232,mp-27734,4.116769516705547,5.0
942,mp-33723,4.863882205867133,5.0
895,mp-982637,7.1275366680989585,5.0
696,mp-556953,6.354719993389421,5.0
690,mp-865875,6.0,5.0
575,mp-23406,5.564872939222397,5.0
537,mp-983509,6.513476374801408,5.0
508,mp-865790,13.1904590396143,5.0
477,mp-861888,15.64850585566255,5.0
446,mp-976055,12.0,5.0
366,mp-1876,11.5,5.0
205,mp-27828,5.727413280879327,5.0
321,mp-30062,5.840780245991068,5.0
218,mp-27975,7.441405981547022,5.0
1055,mp-27381,7.0,5.0
1410,mp-971950,21.6849540021207,5.0
1364,mp-573051,10.754223985460843,5.0
1721,mp-865871,15.045783336417403,5.0
1872,mp-510421,62.3645365773117,5.0
2338,mp-11801,9.085170816375124,5.0
1678,mp-571102,6.540087805335865,5.0
2222,mvc-3453,16.841162086114934,5.0
1997,mp-555014,24.91826336566902,5.0
1584,mp-27839,5.415831559016635,5.0
1574,mp-23004,10.042716882175784,5.0
82,mp-571222,4.863420206163287,5.0
1566,mp-13548,3.975866370208041,5.0
2065,mp-1039208,8.334853524187963,5.0
1564,mp-989402,32.37013301129994,5.0
1562,mp-27367,23.365606265053763,5.0
1528,mp-22496,31.91782324401672,5.0
2028,mp-974832,5.9947670282564935,5.0
1444,mp-1441,18.86918782721096,5.0
2401,mp-9385,16.488350502908244,5.0
2410,mp-1039385,11.315409341613051,5.0
2428,mp-974866,2.0,5.0
2194,mp-27421,12.161623996067455,6.0
452,mp-7086,10.879191112705838,6.0
2456,mp-22870,6.923105345820925,6.0
140,mp-8703,8.612057622595811,6.0
1660,mp-865183,33.57674776523343,6.0
706,mp-989566,17.75404964267293,6.0
948,mp-979013,22.41611966926236,6.0
2005,mp-973271,8.154054138492429,6.0
1745,mp-23513,6.165083207227603,6.0
1782,mp-2793,10.101149909207203,6.0
759,mp-976408,6.0,6.0
1911,mp-1025377,4.286634088727494,6.0
425,mp-570256,5.0,6.0
730,mp-605860,7.495230087937283,6.0
1133,mp-570259,3.0,6.0
2162,mp-1038724,10.767141748003993,6.0
1167,mp-23210,3.0,6.0
1512,mp-140,16.0,6.0
1242,mp-571096,7.0,6.0
1239,mp-561664,23.61174214828436,6.0
114,mp-25469,9.915716266527852,6.0
470,mp-504594,8.699841377942754,6.0
307,mp-28020,10.71211400202723,6.0
2077,mp-567558,3.98487123050571,6.0
1210,mp-1025267,6.67310174795,6.0
2057,mp-613162,8.043672765524436,6.0
1417,mp-22947,4.455758064510384,6.0
685,mp-569639,6.019228972454347,6.0
1369,mp-255,5.8572010571229765,6.0
1943,mp-24422,31.883960977151986,7.0
435,mp-9665,8.964712117780373,7.0
2093,mp-556609,10.979256081556967,7.0
27,mp-1038961,13.707293060125005,7.0
514,mp-27689,5.9762559437655165,7.0
2226,mp-27,53.75,7.0
688,mp-581024,7.828054996487182,7.0
2252,mp-981313,57.51230446319163,7.0
2090,mp-8096,15.0,7.0
387,mp-631317,23.54331576899053,7.0
225,mp-6560,8.513714903495543,7.0
1171,mp-978502,63.49531857871519,7.0
1499,mp-615141,17.00877258373776,7.0
2391,mp-10135,8.550159548961034,7.0
1471,mp-976843,6.333333333333332,7.0
1205,mp-542812,22.0,7.0
250,mp-867339,10.220282922744175,7.0
1186,mp-82,2.0,7.0
2275,mp-5915,31.94136056211525,7.0
1603,mp-643101,8.030164768942699,7.0
1113,mp-865738,8.999941017170432,7.0
1323,mp-9063,5.5687368083203586,7.0
1101,mp-556084,7.223804437847464,7.0
1026,mp-8289,23.131239597541786,7.0
1718,mp-570891,7.0,7.0
2120,mp-982246,23.721711294651357,7.0
1738,mp-961674,42.900518328938475,7.0
1787,mp-29484,8.657106396564615,7.0
1386,mp-977568,49.35757253947027,7.0
153,mp-608366,36.217529288104004,7.0
1869,mp-995214,5.0,7.0
1396,mp-27632,4.937318301317294,7.0
2339,mp-600089,6.666666666666668,7.0
1366,mp-11327,7.369932609019066,7.0
2277,mp-549720,6.3368509008436815,8.0
