material_id,MagpieData minimum Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData range AtomicWeight,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,std_dev oxidation state,elasticity.G_VRH predicted
mp-556225,16.0,13.777777777777779,65.0,88.0,23.0,72.66666666666667,10.222222222222223,75.8032,1234.93,846.57,952.7400000000001,376.25333333333333,12.666666666666666,4.333333333333333,40.0,131.66666666666666,17.777777777777782,145.0,0.6500000000000001,2.1466666666666665,10.0,6.666666666666667,4.444444444444444,11.0,5.0,9.333333333333334,2.222222222222222,0.6666666666666666,0.0,1.0,1.3333333333333333,0.4444444444444444,1.0,25.786875,19.482291666666665,4.203055555555555,16.33,0.734,173.33333333333334,2.1213203435596424,7.666666666666667
mp-3679,16.0,12.888888888888891,61.0,88.0,27.0,78.0,11.333333333333334,89.69500000000001,1728.0,1339.6399999999999,1006.7133333333333,480.85777777777776,13.666666666666666,4.0,34.0,122.66666666666667,11.777777777777777,105.0,0.6700000000000002,2.18,10.0,6.0,4.0,15.0,9.0,10.333333333333334,3.111111111111111,1.6666666666666667,0.6666666666666666,2.0,2.3333333333333335,0.4444444444444445,2.0,31.56,22.555624999999996,8.157083333333334,10.32,0.734,153.66666666666666,2.6457513110645907,64.09944515777867
mp-2367,6.0,22.666666666666668,13.0,77.0,64.0,55.666666666666664,28.444444444444446,126.89477000000001,3823.0,2630.0,2946.3333333333335,1168.888888888889,10.333333333333334,3.3333333333333335,131.0,119.66666666666667,58.22222222222223,76.0,1.4499999999999997,2.0666666666666664,1.0,0.3333333333333333,0.4444444444444445,4.0,1.0,3.6666666666666665,0.4444444444444445,2.6666666666666665,3.0,4.0,5.666666666666667,2.2222222222222223,4.0,36.8975,16.059166666666666,13.892222222222221,5.64,2.9973333333333336,194.0,3.4641016151377544,47.14745407214381
mp-570113,79.0,1.7777777777777761,66.0,86.0,20.0,72.66666666666667,8.888888888888891,12.01383100000001,1337.33,792.93,1073.02,352.41333333333324,12.333333333333334,6.0,12.0,140.0,5.333333333333333,136.0,0.52,2.3666666666666667,10.0,10.0,0.0,29.0,4.0,26.333333333333332,1.7777777777777775,1.0,0.0,1.0,1.6666666666666667,0.888888888888889,1.0,32.95,22.116666666666664,7.222222222222222,16.7,0.0,154.0,2.1213203435596424,12.730338150630459
mp-7598,33.0,3.555555555555555,47.0,84.0,37.0,71.66666666666667,16.444444444444443,17.98478,2750.0,1660.0,1643.3333333333333,737.7777777777777,11.666666666666666,4.333333333333333,45.0,134.0,20.0,119.0,0.5800000000000001,1.986666666666667,10.0,8.0,2.6666666666666665,15.0,10.0,11.666666666666666,4.444444444444445,2.0,2.0,3.0,4.333333333333333,1.7777777777777777,3.0,22.175,20.843333333333334,1.775555555555556,22.175,0.0,187.0,4.358898943540674,94.91286516281829
mp-1780,21.0,12.0,11.0,59.0,48.0,35.0,24.0,57.949588000000006,2237.0,423.0,2025.5,211.5,6.0,4.5,28.0,156.0,14.0,142.0,0.9199999999999997,1.8199999999999998,8.0,4.5,3.5,9.0,6.0,6.0,3.0,0.0,5.5,3.0,6.0,3.0,3.0,22.235,17.9375,4.297499999999999,13.64,0.0,209.5,0.0,56.15775321174894
mp-867292,31.0,6.75,56.0,74.0,18.0,65.75,8.25,33.182500000000005,2607.0,2304.09,1362.455,1059.545,10.75,4.5,24.0,133.0,11.0,122.0,0.46999999999999975,2.025,10.0,8.75,1.25,13.0,5.0,10.75,2.25,2.5,1.25,3.0,4.25,0.75,5.0,18.8575,16.216250000000002,2.6412500000000008,18.8575,0.0,136.75,0.0,68.50373924886897
mp-972985,8.0,11.76,3.0,87.0,84.0,65.2,26.160000000000004,90.42060000000001,1828.05,1773.25,465.796,544.9015999999999,11.8,3.0,137.0,108.0,50.4,66.0,2.62,2.668,10.0,2.0,3.2,10.0,9.0,5.8,1.9200000000000004,1.2,0.0,0.0,1.4,0.72,2.0,73.1066666667,22.966333333339996,20.056133333343997,9.105,0.0,98.0,0.0,38.07407797016547
mp-1009129,8.0,2.0,68.0,87.0,19.0,77.5,9.5,8.3056,923.0,868.2,488.9,434.1,9.0,2.5,75.0,103.5,37.5,66.0,2.13,2.375,0.0,0.0,0.0,6.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,22.89,15.9975,6.8925,9.105,0.0,103.0,2.8284271247461903,65.75
mp-7911,8.0,7.111111111111111,3.0,87.0,84.0,51.333333333333336,32.22222222222222,47.5466,1357.77,1302.97,583.0333333333333,516.4911111111111,9.333333333333334,3.3333333333333335,137.0,133.66666666666666,46.22222222222222,66.0,2.62,2.0533333333333332,10.0,3.3333333333333335,4.444444444444445,11.0,10.0,6.0,3.3333333333333335,0.6666666666666666,0.0,1.0,1.3333333333333333,0.4444444444444444,1.0,73.1066666667,31.093888888899997,28.008518518533332,9.105,0.0,155.33333333333334,1.7320508075688772,62.382996188341345
mvc-13133,29.0,4.326530612244896,64.0,89.0,25.0,80.57142857142857,9.63265306122449,55.163999999999994,1357.77,863.77,742.3742857142857,351.65469387755104,14.285714285714286,4.142857142857143,19.0,126.14285714285714,7.020408163265306,120.0,0.6499999999999999,2.28,10.0,10.0,0.0,16.0,5.0,14.285714285714286,1.9591836734693877,1.7142857142857142,0.0,1.0,2.0,0.5714285714285714,2.0,33.285,22.729285714285716,6.6624489795918365,25.92,0.4565714285714286,92.42857142857143,3.1622776601683795,21.279499270874467
mp-38605,50.0,12.816326530612244,80.0,90.0,10.0,87.42857142857143,2.9387755102040813,90.27040000000001,722.66,217.57999999999998,640.6457142857142,93.73061224489796,15.428571428571429,5.285714285714286,10.0,141.0,4.0,138.0,0.14000000000000012,2.0571428571428574,10.0,10.0,0.0,29.0,15.0,19.428571428571427,5.46938775510204,2.5714285714285716,0.0,2.0,2.5714285714285716,0.6530612244897959,2.0,34.7633333333,34.03404761902857,0.8334693877387735,34.7633333333,0.2651428571428572,110.42857142857143,3.082207001484488,12.097004561132449
mp-1022732,8.0,22.75,55.0,87.0,32.0,78.0,11.5,192.981,1811.0,1756.2,875.0500000000001,575.4499999999999,13.5,4.0,82.0,116.25,25.125,66.0,1.6099999999999999,2.3675,10.0,6.5,3.5,29.0,23.0,14.5,7.5,2.0,1.0,2.0,3.0,0.5,2.0,32.95,18.740000000000002,8.822500000000002,9.105,0.0,104.75,2.943920288775949,42.38849788994208
