material_id,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData mean AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NValence,MagpieData avg_dev NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData avg_dev GSbandgap,avg ionic char,elasticity.K_VRH predicted
mp-676540,25.0,16.0,76.0,88.0,84.25,4.125,88.0,97.568325,388.36,903.78,515.42,564.375,176.015,388.36,13.0,123.5,18.5,1.62,2.2075,2.58,3.0,5.0,13.5,1.0,0.0,2.0,3.0,2.0,31.56,27.510937499999997,2.024531249999999,25.786875,1.101,0.03702331769082264,19.25507142857144
mp-6560,4.4,8.0,3.0,93.0,71.6,27.440000000000005,87.0,24.432100639999998,53.5,388.36,334.86,177.598,147.87759999999997,54.8,1.0,99.4,43.68,0.82,2.852,3.44,3.4,0.0,5.2,0.72,0.0,1.0,1.6,2.0,73.1066666667,25.362208333339996,19.267650000007997,9.105,1.00128,0.15850872628531845,26.461133333333336
mp-865186,27.75,77.0,60.0,74.0,65.5,5.5,60.0,119.6155,302.91,2739.0,2436.09,1675.9775,1063.0225,2739.0,2.0,136.25,7.125,1.31,1.8800000000000001,2.2,0.25,6.0,15.25,1.875,1.5,0.0,2.75,3.0,22.89,17.541875,3.331875,14.21,0.0,0.030906906384609203,187.23521587301587
mp-18924,12.49586776859504,8.0,8.0,87.0,59.63636363636363,29.85123966942149,87.0,42.776945454545455,54.8,1811.0,1756.2,645.5272727272727,644.4297520661157,54.8,2.0,113.18181818181819,51.4710743801653,0.95,2.4681818181818183,3.44,2.1818181818181817,1.0909090909090908,5.2727272727272725,0.9917355371900828,0.7272727272727273,0.0,1.8181818181818181,2.0,54.23,21.707272727272727,17.7396694214876,9.105,0.0,0.17321300288929822,106.4136285714285
mp-19378,13.75,8.0,49.0,87.0,72.0,15.0,87.0,47.965775,54.8,2180.0,2125.2,881.1325,826.3325,54.8,6.0,104.0,38.0,1.66,2.6174999999999997,3.44,2.0,3.75,7.25,1.0,1.25,1.0,2.75,2.0,16.33,11.4325,2.448749999999999,9.105,0.0,0.12382824281590714,147.21665439560448
mp-568986,17.11111111111111,17.0,3.0,94.0,74.16666666666667,26.444444444444443,94.0,62.97947816666667,171.6,1337.33,1165.73,393.3766666666666,314.65111111111105,171.6,1.0,124.5,30.0,0.82,2.6666666666666665,3.16,3.3333333333333335,1.6666666666666667,9.0,0.4444444444444445,0.0,1.0,1.0,1.0,73.1066666667,31.29944444445,13.93574074075,24.4975,1.1079999999999999,0.1075459994417741,21.822792857142854
mp-636368,1.875,31.0,55.0,74.0,69.25,7.125,74.0,66.2535,302.91,1811.0,1508.09,679.9325,565.53375,302.91,8.0,124.5,3.75,1.81,1.815,1.81,0.75,9.0,11.75,1.875,1.0,4.0,4.75,5.0,18.8575,16.825625000000002,3.0478125,18.8575,0.0,1.8749062531249472e-05,126.29105259740268
mp-1018770,36.0,3.0,1.0,86.0,32.0,36.0,1.0,96.61524166666668,453.69,1204.0,750.31,608.9783333333334,198.3405555555556,453.69,1.0,147.16666666666666,19.166666666666668,0.98,1.3516666666666666,0.98,1.0,3.3333333333333335,11.0,1.3333333333333333,0.0,1.0,3.3333333333333335,1.0,35.675,25.225833333316668,8.632500000016668,16.5933333333,0.0,0.04993565883397247,38.73514761904762
mp-567395,25.263157894736842,3.0,1.0,66.0,14.68421052631579,21.606648199445985,1.0,46.94638294736842,453.69,1337.33,883.6399999999999,639.7194736842106,293.7307479224377,453.69,1.0,129.68421052631578,2.6592797783933464,0.98,1.308421052631579,0.98,0.0,2.1052631578947367,6.052631578947368,0.0,0.0,1.0,1.0,1.0,16.7,16.615789473657895,0.035457063722992566,16.5933333333,0.0,0.07575275462738935,40.97720952380951
mp-677103,11.5,9.0,4.0,93.0,70.5,33.25,93.0,31.1181366,14.01,312.46,298.45,108.36749999999999,102.04624999999999,53.5,1.0,91.25,64.375,0.82,2.745,3.98,2.5,0.0,4.0,0.5,0.0,1.0,1.0,1.0,90.7225,29.188125,30.7671875,9.7075,2.452375,0.20676569526109703,25.536961904761906
mp-1018134,0.0,3.0,1.0,1.0,1.0,0.0,1.0,6.941,453.69,453.69,0.0,453.69,0.0,453.69,1.0,128.0,0.0,0.98,0.98,0.98,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,16.5933333333,16.5933333333,0.0,16.5933333333,0.0,0.0,14.023180952380937
mp-27691,9.283950617283951,35.0,3.0,95.0,71.0,32.0,95.0,83.63384444444445,265.8,2041.4,1775.6000000000001,478.8066666666667,347.242962962963,265.8,1.0,140.22222222222223,27.901234567901238,0.82,2.408888888888889,2.96,3.3333333333333335,7.666666666666667,14.222222222222221,0.4444444444444444,0.1111111111111111,1.0,1.1111111111111112,1.0,73.1066666667,37.56814814815555,15.794897119353083,29.48,0.6475555555555556,0.11928569401228423,11.20735238095238
mp-28722,12.098765432098766,17.0,63.0,94.0,89.22222222222223,6.3703703703703685,94.0,52.43688888888889,171.6,2041.4,1869.8000000000002,427.52444444444444,358.639012345679,171.6,10.0,106.44444444444444,6.5679012345679,2.28,2.933333333333333,3.16,4.222222222222222,1.0,8.666666666666666,0.39506172839506176,0.1111111111111111,1.0,1.3333333333333333,1.0,25.786875,23.73097222222222,1.9357716049382718,24.4975,0.4780740740740741,0.003443481628499289,5.493061904761907
mp-976405,21.375,68.0,2.0,35.0,26.75,12.375,35.0,131.19169232,370.87,1770.0,1399.13,1420.2175,524.6737499999999,1770.0,1.0,183.25,8.625,0.93,1.1624999999999999,1.24,0.0,0.0,10.75,0.0,0.0,1.0,1.75,2.0,30.585,30.249583333325,0.5031250000125009,30.585,0.0,0.004451005702452722,38.43460952380956
mp-2483,18.22222222222222,25.0,31.0,52.0,45.0,9.333333333333334,52.0,90.79203,1519.0,1685.0,166.0,1574.3333333333333,73.77777777777776,1519.0,3.0,156.66666666666666,23.555555555555554,1.22,1.4400000000000002,1.55,0.0,3.3333333333333335,8.666666666666666,0.0,3.3333333333333335,4.0,4.666666666666667,5.0,31.24,17.405057471266666,9.223295019155556,10.4875862069,0.0,0.005968386693032777,99.84292857142854
mp-510436,1.125,46.0,62.0,75.0,65.25,4.875,62.0,108.5195,429.75,1828.05,1398.3,1478.475,524.3625,1828.05,10.0,139.75,1.125,1.78,2.095,2.2,0.25,10.0,10.75,1.875,0.0,0.0,1.25,0.0,24.26,16.872500000000002,3.6937500000000014,14.41,0.0,0.008089074963391937,122.68537142857149
mp-864775,11.5,80.0,33.0,71.0,60.0,13.5,71.0,168.49463,234.32,1747.0,1512.68,862.6425,628.3225,234.32,3.0,150.25,20.875,1.23,1.79,2.0,0.0,7.5,19.0,0.0,0.0,0.0,1.0,0.0,30.7333333333,24.384626436775,4.0273132183875004,25.2375862069,0.0,0.02457927596902601,69.06108095238093
mp-3513,21.46938775510204,13.0,31.0,78.0,62.42857142857143,17.959183673469386,73.0,66.01651654285715,933.47,1687.0,753.53,1363.4871428571428,368.58612244897955,933.47,3.0,138.42857142857142,30.61224489795918,1.22,1.5814285714285714,1.61,1.0,0.0,5.857142857142857,1.8775510204081634,0.0,4.0,4.428571428571429,5.0,31.24,21.828571428571426,5.377959183673467,16.48,0.31551020408163266,0.016028039078439537,84.71747142857147
mp-29379,19.95918367346939,19.0,3.0,90.0,52.142857142857146,42.122448979591844,3.0,101.29647142857142,336.53,722.66,386.13,531.7099999999999,167.29714285714286,336.53,1.0,167.28571428571428,30.612244897959183,0.82,1.5400000000000003,0.82,2.142857142857143,5.714285714285714,11.428571428571429,1.1020408163265307,0.0,1.0,1.7142857142857142,1.0,73.1066666667,50.93714285714285,19.002448979620404,34.7633333333,0.22726530612244897,0.0803372513023434,21.428271428571428
mp-1016932,9.36,8.0,52.0,87.0,76.4,12.719999999999999,87.0,33.66324899999999,54.8,1519.0,1464.2,475.216,504.49920000000003,54.8,7.0,91.8,30.96,1.55,2.7039999999999997,3.44,2.4,3.0,7.4,0.9600000000000002,1.0,0.0,2.2,2.0,13.96,10.35251724138,1.4970206896559997,9.105,0.0,0.13710579102745418,141.93039761904757
mp-755568,23.52,8.0,74.0,87.0,84.2,4.079999999999998,87.0,65.34031999999999,54.8,544.4,489.59999999999997,202.34199999999998,177.0504,54.8,13.0,93.6,33.12,1.81,2.83,3.44,3.2,4.0,12.0,0.96,0.0,2.0,2.8,2.0,32.95,15.8245,8.063400000000001,9.105,0.0,0.10619203160354437,125.08227857142865
mp-19946,7.5,29.0,12.0,75.0,53.75,20.875,64.0,82.7039625,429.75,1799.0,1369.25,1236.0725,403.16125,1357.77,3.0,149.0,20.5,1.22,1.7,1.9,0.25,7.75,9.5,1.875,2.25,1.0,4.0,1.0,32.365,19.69125,8.62125,11.07,0.0,0.01880809821932406,84.60384761904754
mp-488,2.5,29.0,64.0,89.0,76.5,12.5,64.0,71.253,494.0,1357.77,863.77,925.885,431.885,494.0,11.0,126.0,6.0,1.9,2.2249999999999996,1.9,2.0,10.0,13.5,1.0,0.0,1.0,1.5,1.0,25.92,18.495,7.425000000000001,11.07,0.3995,0.025059501108086496,39.48049033189032
mp-1842,10.5,13.0,47.0,73.0,66.5,9.75,73.0,43.462748950000005,933.47,2750.0,1816.53,1387.6025,681.19875,933.47,5.0,131.75,16.125,1.6,1.6075,1.61,0.75,1.0,3.5,1.875,1.5,5.0,5.5,5.0,18.18,16.905,0.6375000000000002,16.48,0.0,4.687441406733828e-06,124.70708571428575
mp-3455,14.88,15.0,35.0,83.0,64.6,14.719999999999999,61.0,69.3186648,317.3,1770.0,1452.7,1172.1200000000001,683.856,317.3,3.0,130.2,23.519999999999992,1.24,1.888,1.91,1.2,3.2,8.8,1.44,0.8,2.0,2.4,2.0,30.585,19.27309523808,7.162476190464,10.32,0.78,0.013101949863039562,118.58062380952381
mp-864934,13.125,47.0,65.0,68.0,65.75,1.125,65.0,86.9774,923.0,1234.93,311.93000000000006,1156.9475,116.97375000000005,1234.93,2.0,144.0,1.5,1.31,1.775,1.93,0.0,7.5,8.75,0.0,0.0,0.0,0.75,1.0,22.89,17.97,2.460000000000001,16.33,0.0,0.01718002983576225,81.91953333333333
mp-1025311,15.30612244897959,78.0,63.0,84.0,67.0,5.714285714285714,63.0,166.1075142857143,594.22,2041.4,1447.18,1698.7457142857143,489.5061224489796,2041.4,10.0,134.71428571428572,4.489795918367341,1.69,2.1814285714285715,2.28,0.42857142857142855,9.285714285714286,21.0,0.7346938775510203,0.7142857142857143,0.0,1.8571428571428572,2.0,22.175,16.681428571428572,2.373469387755103,15.02,0.0,0.006444634817668353,188.98019047619042
mvc-916,9.714285714285714,8.0,9.0,87.0,68.35714285714286,21.30612244897959,87.0,35.24237142857143,54.8,2183.0,2128.2,792.3857142857142,842.9551020408164,54.8,2.0,106.85714285714286,46.693877551020414,0.89,2.588571428571428,3.44,2.2857142857142856,0.8571428571428571,5.142857142857143,0.979591836734694,2.0,0.0,3.142857142857143,2.0,63.59,15.097142857142858,8.040816326530614,9.105,0.0,0.015047931333961182,133.4867190476191
