material_id,Elongation at Break ,"Tensile Strength,Ultimate","Tensile Strength, Yield"
mp-10,30.03189083,194.962,134.05
mp-1000,19.98845039,374.1172,239.5
mp-10010,18.94538094,444.5708,559.735
mp-1001602,12.80777379,405.3128,544.15
mp-1001784,11.62509713,381.512,444.24
mp-10074,29.95594908,189.1504,152.52
mp-1007823,20.55589725,246.5216,433.6
mp-1007923,19.5855991,1121.266,679.2
mp-1008680,13.74391678,577.0964,605.905
mp-1008925,14.11456776,483.4704,396.35
mp-1009079,19.92261551,423.5512,407.83
mp-1009087,17.30786429,290.0688,259.57
mp-1009458,13.56479122,617.036,566.94
mp-1009548,23.15358441,372.5156,283.755
mp-1009894,14.15536633,562.916,596.77
mp-1013529,10.57868131,387.0012,222.155
mp-1013564,19.10720306,363.9652,213.43
mp-1013587,19.42660497,337.1996,243.19
mp-1013702,17.53968564,351.238,317.125
mp-1013703,19.59263476,367.6668,239.02
mp-1016108,14.09788889,380.7516,388.085
mp-1016833,13.21976618,453.2588,356.315
mp-1016837,23.40846409,265.0404,254.24
mp-1016845,14.14097191,382.0904,384.57
mp-1016881,23.04218806,264.2928,292.045
mp-1016904,15.05433529,355.3264,321.34
mp-1017533,11.65590518,464.9408,421.745
mp-1017540,16.32140485,326.15,592.1
mp-1017985,16.13669698,393.106,620.75
mp-1018050,16.93297348,556.84,473.32
mp-1018059,29.84934996,207.6256,282.995
mp-1018067,23.49982085,1158.142,535.45
mp-1018639,14.7164493,336.4172,490.475
mp-1018949,17.23087137,428.6548,367.905
mp-1019,15.906184,547.882,968.07
mp-1019086,21.80457239,232.85,289.84
mp-1019277,20.57648061,328.816,277.415
mp-1019740,20.48962684,304.4744,436.85
mp-1020622,10.73201246,421.454,327.11
mp-1024039,9.281584822,364.1884,215.67
mp-1025205,17.00859994,576.1336,615.3
mp-1025296,27.68871135,348.1064,343.215
mp-1025348,28.615596,401.6212,394.105
mp-1025356,29.31812138,516.5744,417.99
mp-1025370,27.77388765,515.0144,444.62
mp-1025375,17.97894301,372.4428,713.24
mp-10266,22.09049152,641.988,471.17
mp-1029262,16.50192588,330.4988,346.33
mp-1029330,18.7264237,498.592,620.05
mp-1029334,24.98644389,237.8136,315.36
mp-1029520,10.66553996,399.7384,384.575
mp-1029531,11.97869396,450.1916,369.77
mp-1029532,10.86446426,484.3628,377.805
mp-1029750,11.17249222,485.3676,356.905
mp-1039119,11.48433198,263.9748,185.47
mp-10435,15.30880454,357.9792,480.92
mp-10437,19.5617582,474.0472,324.355
mp-10474,12.16942108,286.9808,283.35
mp-1055,29.95815204,225.2656,259.725
mp-10601,13.79692919,469.9428,570.8
mp-10694,10.87946546,357.2344,430.8
mp-10886,22.19600169,319.7704,392.645
mp-10887,15.02134531,503.986,496.025
mp-109,21.8226889,206.1668,196.11
mp-11025,24.36987359,185.2376,328.395
mp-11073,13.61396279,411.5112,558.525
mp-11273,14.23085313,401.31,363.35
mp-11278,14.9647172,494.3584,547.45
mp-11304,18.4595429,400.142,284.05
mp-11441,21.46332205,360.372,631.905
mp-11445,17.3805483,331.6916,615.105
mp-1145,15.05287223,423.5408,449.72
mp-11499,14.70191957,334.1364,364.75
mp-11512,15.20510031,433.3388,478.02
mp-11547,19.24584845,469.3836,558.1
mp-11690,17.76985015,314.3644,526.565
mp-11695,18.42038314,440.2688,293.025
mp-11798,26.81797896,1257.15,647.3
mp-11816,19.95341496,378.8612,294.645
mp-11820,14.65153779,342.2452,258.435
mp-11882,24.06402812,318.9772,403.58
mp-12015,17.44247858,453.2176,372.16
mp-12137,14.6880419,351.9684,314.555
mp-1224,27.75416573,296.47,279.21
mp-12283,18.02868157,387.2344,418.955
mp-1249,9.531726344,304.1344,252.49
mp-12520,17.680878,569.3208,522.94
mp-1281,24.93728968,511.4364,630.805
mp-12990,14.66902883,553.656,782.07
mp-13109,11.28830079,436.6784,313.83
mp-1315,9.274975691,308.772,234.48
mp-13203,18.21460292,431.6116,609.455
mp-13272,14.32118524,425.654,293.765
mp-1334,13.99340675,497.5872,511.5
mp-13512,18.45418816,438.2144,386.75
mp-13548,17.72309355,409.3516,426.17
mp-1407,27.44619023,255.6024,478.865
mp-14091,27.48602704,253.7928,443.495
mp-14168,13.35374902,341.4688,387.85
mp-1444,17.50025551,292.2668,317.79
mp-1451,19.18610149,1145.578,662.64
mp-14600,9.246584361,349.2252,232.915
mp-1500,13.02192476,393.858,224.305
mp-1543,30.93960221,366.4136,435.34
mp-15637,22.75152265,336.3132,414.865
mp-15686,17.22114909,414.1672,358.545
mp-1585,18.01797235,414.3344,615.9
mp-1590,12.80768591,299.332,228.285
mp-15965,18.62499345,544.6968,574.9
mp-1620,13.91028698,486.7128,566.925
mp-16266,13.40947667,376.752,332.625
mp-16523,24.9989245,381.954,372.095
mp-16565,30.54092273,222.2796,263.435
mp-16733,12.07568704,513.0492,716.25
mp-16740,15.73381847,394.1172,568.605
mp-16764,17.18286685,384.1212,442.675
mp-1722,26.15779409,326.0108,328.17
mp-17413,20.15113301,470.3384,575.95
mp-17701,10.93003789,442.8956,383.475
mp-18093,12.64689596,558.498,536.57
mp-18105,20.51754007,363.5504,454.47
mp-1867,27.58948431,600.5684,793.2
mp-18695,22.29599006,423.41,463.6
mp-1871,21.72342126,632.684,436.82
mp-18927,17.64129885,547.8336,658.4
mp-19009,22.85300745,462.9052,508.135
mp-19069,23.12222617,454.8668,588.59
mp-19083,12.23670888,437.8148,426.005
mp-19102,11.2132124,475.6104,300.29
mp-19252,14.21914284,518.1632,410.355
mp-19276,11.03439108,458.7092,361.265
mp-1935,15.02310562,309.3204,188.94
mp-19359,13.42805361,506.1664,482.675
mp-19405,21.44853866,491.1272,489.44
mp-19722,20.87735183,288.7724,421.92
mp-19870,20.22009514,553.124,712.42
mp-19896,17.24750426,274.9532,435.31
mp-20098,15.52039336,367.174,281.61
mp-20131,18.80811972,269.392,527.905
mp-20155,28.03384507,285.4848,420.93
mp-20456,24.01626163,318.4064,430.26
mp-20466,31.34633649,252.6048,381.975
mp-20479,20.0887267,294.118,382.52
mp-20481,23.18060117,348.7672,387.39
mp-20566,20.09799456,202.0604,224.28
mp-20679,22.25930723,632.314,547.92
mp-20695,17.32406517,351.4852,703.755
mp-20724,17.71716144,298.8352,282.755
mp-20897,14.70005013,467.792,396.555
mp-20944,13.54665924,381.2296,281.61
mp-21067,18.83147151,442.6128,542.405
mp-21167,23.85212121,528.2048,553.29
mp-21297,19.20550831,288.3796,347.08
mp-21301,17.31480983,583.7768,1002.79
mp-21855,17.73897644,327.1596,488.025
mp-2187,17.62900459,366.164,749.155
mp-219,14.23368245,453.5912,520.55
mp-22060,19.7564024,424.9208,628.755
mp-2225,11.64484647,402.9184,383.29
mp-22284,20.78106675,485.8556,414.705
mp-22289,20.56574125,516.93,550.64
mp-22320,25.46370618,406.09,422.375
mp-22346,20.57653377,455.4436,304.86
mp-22441,11.1098605,419.3956,313.47
mp-22568,19.85323415,377.6404,756.355
mp-22648,22.05245718,363.1528,455.01
mp-22722,17.22678504,505.062,508.205
mp-22739,14.14691602,433.5068,367.26
mp-22759,19.37428038,671.4088,653.47
mp-22978,13.76617731,377.2344,458.1
mp-23053,29.83914445,199.9104,414.865
mp-23060,21.97896523,359.4148,387.24
mp-2319,18.86335214,349.7348,451.605
mp-2352,9.612957542,376.6624,338.25
mp-2363,18.33383017,526.5984,544
mp-23737,13.86538266,365.3532,293.85
mp-23860,12.39443464,430.1688,283.015
mp-23870,13.51633643,341.3496,276.6
mp-23922,10.10746948,341.136,319.4
mp-24066,12.21937185,414.4312,274.49
mp-24390,9.613102274,337.2576,253.64
mp-24723,12.92174209,473.3376,390.27
mp-25417,11.55580351,446.8416,399.29
mp-2560,14.247629,468.9864,676.665
mp-2624,26.93017291,208.0168,408.405
mp-2664,14.7585221,457.2608,545.6
mp-27253,24.07340906,354.9016,458.9
mp-27693,12.89715838,480.1392,489.64
mp-27827,13.29084508,351.5272,435.945
mp-27830,14.74552183,284.4888,422.955
mp-27835,20.38827932,350.416,412.28
mp-2784,17.05036534,371.0088,441.045
mp-27850,14.19123559,432.6724,464.995
mp-2794,21.8073667,622.02,409.07
mp-28145,14.79840043,343.558,301.96
mp-2874,22.24093009,266.1216,468.15
mp-28797,17.22335151,480.6656,531.65
mp-29069,17.81166229,419.8168,416.26
mp-29157,19.54538448,293.1696,461.36
mp-29356,12.1081511,451.8748,419.62
mp-29455,23.93046469,245.9148,441.305
mp-29463,10.11269521,411.5372,299.2
mp-29618,18.80324309,479.3252,541.99
mp-2979,24.95974727,249.7216,325.895
mp-29898,26.67318495,326.6152,464.555
mp-30066,30.11465177,337.8424,218.245
mp-30208,14.36443304,383.41,475.37
mp-30356,20.2989529,423.4436,358.415
mp-30363,23.37953624,453.3236,346.565
mp-30405,18.49443869,447.2996,367.805
mp-30409,28.41093466,1065.7444,438.57
mp-30449,20.28394963,369.9476,263.58
mp-30501,15.32879444,381.86,667.7
mp-30726,23.42350068,289.4424,417.585
mp-30745,28.4436967,331.7,658
mp-30746,18.08235121,526.0928,633.05
mp-30817,14.98065543,383.0612,369.52
mp-30834,18.06294864,296.932,290.555
mp-30840,16.88088798,379.8844,524.85
mp-30842,16.84795116,362.8984,577.2
mp-3104,10.95704779,410.6212,307.73
mp-31187,11.51610026,582.5404,1051
mp-31337,30.26369247,298.23,237.33
mp-31348,14.48717726,405.564,713.705
mp-31452,16.81114608,539.6504,827.3
mp-31458,17.66603058,475.842,657.955
mp-31459,21.02845124,604.5056,798.85
mp-3416,12.47606948,346.2624,317.65
mp-34240,18.84855493,394.4644,315.825
mp-34418,19.94630817,275.6216,418.15
mp-34903,14.17058415,258.3232,349.855
mp-3553,19.50485886,467.0272,419.255
mp-35869,14.7209737,517.8348,441.84
mp-365,10.5634289,362.724,283.505
mp-370,24.9877577,243.5884,305.97
mp-37473,14.16243615,338.978,411.05
mp-3771,10.69228771,386.062,298.265
mp-37879,20.5820512,405.552,389.645
mp-38843,12.19416828,450.4896,320.435
mp-3955,18.65283687,246.7116,315.775
mp-40143,13.25421644,442.1228,426.95
mp-417,21.7316724,424.022,506.7
mp-4170,13.38188276,468.022,420.17
mp-4343,18.64832692,425.4756,408.355
mp-4448,13.78741956,469.1696,481.05
mp-4475,28.78159677,434.6796,532.46
mp-4627,21.49546661,387.5752,480.32
mp-468,20.24158813,254.5812,312.55
mp-4691,22.97898934,435.268,508.5
mp-4784,14.1246097,449.0908,306.525
mp-4953,29.97361851,216.1888,223.495
mp-4962,21.64307724,393.2044,480.07
mp-504543,26.91463419,250.8088,409.105
mp-505820,18.4259408,362.1668,520.115
mp-5077,15.0235467,398.3088,449.105
mp-510623,21.87246222,614.11,409.07
mp-5186,19.12371989,466.738,766.65
mp-5372,15.6772634,465.748,479.27
mp-540,11.2554549,550.97,725.15
mp-540957,22.40946677,269.246,376.355
mp-545820,25.03522983,252.304,415.075
mp-5479,12.28682923,341.5904,317.225
mp-550893,17.4417471,475.0592,426.12
mp-551830,10.64865727,411.5004,313.415
mp-552185,19.8182345,297.5564,444.95
mp-553243,17.6458804,325.112,454.86
mp-553896,12.45508135,452.4404,459.805
mp-554352,12.94187478,396.4288,278.77
mp-554769,19.98986942,399.6,502.155
mp-555064,20.2557968,359.2868,419.065
mp-556536,15.91253842,378.2084,476.8
mp-558694,14.22573849,516.8468,570.175
mp-559051,17.06169616,299.0944,313.325
mp-559998,15.53783059,477.536,451.95
mp-560588,24.92832208,256.7372,306.455
mp-561242,17.70986787,440.2656,544.57
mp-561258,24.92832208,256.7372,306.455
mp-561480,13.7744601,443.6532,512.125
mp-5670,12.11295317,446.6164,412.135
mp-567278,8.583125824,339.416,295.04
mp-567347,17.88034204,413.6396,391.46
mp-567601,11.03077355,431.3864,262.5
mp-567842,11.05680971,361.83,265.535
mp-567889,15.67495373,317.8804,545.825
mp-568328,18.88340687,290.9324,504.915
mp-568333,19.24799029,238.1676,414.345
