material_id,MagpieData minimum Number,MagpieData maximum Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData mean Column,MagpieData avg_dev Column,MagpieData avg_dev Row,MagpieData mode Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,std_dev oxidation state,elasticity.G_VRH predicted
mp-568696,6.0,14.0,6.0,78.0,1.0,77.5,0.5,8.0374,1687.0,3823.0,2136.0,2755.0,1068.0,1687.0,14.0,0.0,0.5,2.0,111.0,35.0,93.5,76.0,1.9,0.6499999999999999,2.2249999999999996,1.9,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,20.44,13.040000000000001,7.4,5.64,2.6345,210.5,5.656854249492381,185.93435096088425
mp-20708,16.0,49.0,28.0,88.0,27.0,72.71428571428571,10.040816326530614,27.255493877551014,388.36,1728.0,1339.6399999999999,974.3171428571429,646.0138775510204,1728.0,12.571428571428571,2.2040816326530615,0.5714285714285714,4.0,142.0,37.0,123.71428571428571,124.0,1.78,0.8,2.064285714285714,1.91,10.0,6.285714285714286,3.591836734693878,9.714285714285714,2.122448979591837,2.0,0.8571428571428571,2.0,2.857142857142857,1.2244897959183676,2.0,25.786875,18.721964285714286,7.201683673469388,10.32,0.6291428571428571,156.14285714285714,0.0,38.78006276693762
mp-7439,15.0,29.0,19.0,83.0,80.0,45.875,32.15625,12.983210249999999,317.3,1357.77,1040.47,714.6875,482.31187500000004,336.53,8.25,5.4375,0.375,4.0,203.0,96.0,152.375,132.0,0.82,1.37,1.5675,0.82,10.0,3.75,4.6875,5.75,3.9375,0.75,0.0,1.0,1.5,0.75,1.0,73.1066666667,37.2088095238125,26.923392857165624,11.07,0.40625,170.75,2.138089935299395,14.268085401157867
mp-38843,8.0,73.0,8.0,87.0,80.0,69.44444444444444,23.40740740740741,55.83016098765432,54.8,3290.0,3235.2,891.5333333333333,1115.6444444444444,54.8,12.0,5.333333333333333,1.4814814814814814,2.0,176.0,110.0,101.33333333333333,66.0,1.0,2.44,2.7377777777777776,3.44,3.0,0.6666666666666666,1.0370370370370372,8.444444444444445,4.691358024691358,1.3333333333333333,1.5555555555555556,0.0,2.888888888888889,1.8271604938271604,2.0,37.77,14.293333333333335,6.917777777777778,9.105,0.0,83.88888888888889,4.189272013130682,76.7911194156506
mp-862334,21.0,77.0,21.0,60.0,49.0,35.25,24.25,51.302669,1814.0,2739.0,925.0,2151.0,337.0,1814.0,6.0,3.0,0.75,4.0,170.0,29.0,155.75,170.0,1.36,0.9199999999999997,1.7999999999999998,1.36,8.0,4.25,3.25,9.5,6.75,0.0,5.75,3.0,6.0,3.0,9.0,22.235,18.08,4.154999999999999,22.235,0.0,209.5,0.0,68.16809477802957
mp-4651,8.0,38.0,8.0,87.0,79.0,62.4,29.520000000000003,24.837168,54.8,1941.0,1886.2,631.08,691.5360000000001,54.8,10.8,6.24,1.2,2.0,195.0,129.0,110.6,66.0,0.95,2.49,2.5620000000000003,3.44,2.0,0.4,0.64,4.8,1.44,1.2,1.6,0.0,2.8,2.0799999999999996,2.0,54.23,19.647,13.833199999999996,9.105,0.0,91.0,3.3806170189140663,80.93361357950558
mp-1014993,7.0,24.0,7.0,82.0,33.0,71.0,14.666666666666666,16.884177777777776,63.05,2180.0,2116.95,768.6999999999999,940.8666666666668,63.05,12.0,4.0,0.8888888888888888,2.0,139.0,68.0,93.66666666666667,71.0,1.66,1.3800000000000001,2.58,3.04,5.0,1.6666666666666667,2.222222222222222,5.333333333333333,0.44444444444444436,2.0,1.6666666666666667,3.0,4.0,1.3333333333333333,3.0,14.76875,13.575833333333334,1.5905555555555562,14.76875,4.291333333333333,205.66666666666666,6.363961030678928,81.98588012375382
mp-864968,25.0,49.0,45.0,75.0,23.0,61.25,6.875,19.476858125,429.75,2237.0,1807.25,1605.6875,631.3125,2237.0,9.5,1.75,0.375,5.0,142.0,3.0,141.25,142.0,1.55,0.7299999999999998,1.9725,2.28,10.0,7.75,1.375,9.5,1.75,1.25,2.25,3.0,4.0,1.0,3.0,24.26,15.506896551725001,4.376551724137501,13.64,0.0,201.5,0.0,59.88906846712181
mp-1025377,47.0,53.0,53.0,96.0,31.0,83.42857142857143,14.36734693877551,8.582205714285715,386.85,1234.93,848.08,658.7828571428571,329.2269387755102,386.85,14.571428571428571,2.775510204081633,0.0,5.0,145.0,6.0,141.42857142857142,139.0,1.69,0.9700000000000002,2.312857142857143,2.66,10.0,10.0,0.0,14.571428571428571,2.775510204081633,0.5714285714285714,0.0,0.0,0.8571428571428571,0.2448979591836735,1.0,43.015,32.03071428571429,12.553469387755102,43.015,0.6068571428571429,128.57142857142858,1.5811388300841898,6.948131817593507
mp-15657,14.0,27.0,14.0,78.0,35.0,59.666666666666664,12.222222222222221,11.250932222222223,1687.0,1941.0,254.0,1798.6666666666667,94.88888888888891,1687.0,9.0,3.3333333333333335,0.4444444444444445,3.0,160.0,49.0,132.33333333333334,111.0,1.54,0.3599999999999999,1.7733333333333334,1.54,7.0,3.0,2.6666666666666665,5.666666666666667,2.2222222222222223,1.3333333333333333,3.6666666666666665,3.0,5.0,2.0,3.0,20.44,15.791666666666666,3.697777777777779,10.245,0.25766666666666665,205.0,3.4641016151377544,103.42439228838167
