material_id,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData avg_dev Row,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData mean NpValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,elasticity.K_VRH predicted
mp-13270,12.0,7.0,65.0,45.666666666666664,25.777777777777782,65.0,1115.0,1234.93,1194.9533333333334,53.30222222222225,1234.93,2.0,0.44444444444444436,155.33333333333334,1.0,0.9299999999999999,1.6199999999999999,1.93,0.0,8.0,4.0,11.0,0.0,0.0,0.6666666666666666,0.4444444444444445,37.77,23.47666666666667,9.528888888888892,16.33,0.0,0.0,225.0,50.02067857142855
mp-865939,4.0,1.0,68.0,45.666666666666664,29.777777777777782,68.0,453.69,923.0,766.5633333333334,208.5822222222222,923.0,1.0,0.4444444444444445,136.66666666666666,0.98,0.33000000000000007,1.2,1.31,0.0,1.6666666666666667,0.4444444444444444,2.0,0.0,0.0,0.3333333333333333,0.4444444444444445,22.89,20.791111111099998,2.798518518533335,22.89,0.0,0.0,205.66666666666666,29.422422222222195
mp-862600,28.75,59.0,67.0,64.0,3.0,67.0,1560.0,2237.0,1849.6,289.6,1560.0,2.0,1.75,117.5,1.57,0.7099999999999997,1.9249999999999998,1.57,0.0,9.25,7.375,2.0,0.75,0.0,1.25,1.25,15.02,11.11,3.22,7.89,0.0,0.0,209.5,204.9902674603174
mp-22736,11.5,64.0,88.0,78.75,9.25,88.0,388.36,1357.77,641.06,358.35499999999996,388.36,11.0,0.75,121.0,1.78,0.8,2.21,2.58,2.25,9.0,3.0,6.0,0.0,1.0,2.5,1.25,25.786875,21.7259375,5.327968749999999,25.786875,2.202,1.101,126.0,60.24595054112554
mp-865506,28.75,46.0,78.0,59.5,9.25,57.0,1687.0,3306.0,2620.5,685.5,3306.0,5.0,1.25,138.0,1.63,0.5700000000000003,1.9825,2.2,0.5,13.25,8.75,22.0,3.75,4.0,4.75,1.125,20.44,15.4075,2.5162500000000008,14.09,0.773,0.19325,211.0,276.1993690476194
mp-11684,2.6666666666666665,78.0,87.0,84.0,4.0,87.0,54.8,1687.0,598.8666666666667,725.4222222222221,54.8,14.0,0.4444444444444445,81.0,1.9,1.54,2.9266666666666663,3.44,3.3333333333333335,5.333333333333333,0.888888888888889,6.0,0.0,2.0,2.6666666666666665,0.8888888888888888,20.44,12.883333333333335,5.037777777777778,9.105,0.773,0.25766666666666665,83.66666666666667,113.88655660597583
mp-21017,16.4,12.0,81.0,38.8,32.160000000000004,12.0,600.61,3823.0,1964.122,743.5512000000001,1799.0,3.0,1.0400000000000003,158.4,1.22,1.3299999999999998,1.7079999999999997,1.22,0.8,8.2,7.919999999999999,3.0,5.4,4.0,7.0,2.4,32.365,26.169,8.2116,32.365,4.496,0.8992000000000001,200.2,85.80089880952384
mp-570553,3.5199999999999996,55.0,83.0,77.4,8.959999999999997,83.0,317.3,1811.0,616.04,477.98400000000004,317.3,8.0,0.3200000000000001,112.0,1.83,0.3599999999999999,2.118,2.19,2.4,5.6,0.9599999999999997,5.0,0.8,3.0,3.2,0.3200000000000001,22.5702380952,20.202190476160002,3.7888761904639994,22.5702380952,1.625,1.3,47.4,139.89041785714272
mp-21464,26.222222222222218,54.0,72.0,61.333333333333336,7.111111111111112,54.0,1768.0,3459.0,2525.0,622.6666666666666,1768.0,7.0,1.3333333333333333,120.33333333333333,1.88,0.16000000000000014,1.9400000000000002,1.88,0.3333333333333333,11.0,6.666666666666667,3.0,2.6666666666666665,3.0,4.333333333333333,0.888888888888889,14.655,10.690833333333332,2.6427777777777774,7.1725,1.524,0.508,184.66666666666666,294.25490992063453
mp-13010,4.888888888888888,12.0,80.0,57.333333333333336,30.222222222222218,80.0,505.08,1799.0,936.3866666666667,575.0755555555555,505.08,3.0,0.0,156.0,1.22,0.74,1.7133333333333332,1.96,1.3333333333333333,10.333333333333334,4.888888888888888,14.0,3.0,4.0,5.666666666666667,2.2222222222222223,33.285,32.97833333333333,0.40888888888888647,33.285,0.0,0.0,158.66666666666666,64.63356666666672
mp-545974,2.6666666666666665,73.0,87.0,84.0,4.0,87.0,54.8,933.47,244.995,253.59333333333333,54.8,13.0,0.4444444444444445,82.0,1.61,1.8299999999999998,2.9266666666666663,3.44,3.3333333333333335,5.333333333333333,0.888888888888889,6.0,0.0,2.0,2.6666666666666665,0.8888888888888888,22.5702380952,12.578373015866667,4.631164021155556,9.105,1.625,0.2708333333333333,45.833333333333336,82.35426608187133
mp-2323,12.5,64.0,67.0,65.5,1.5,64.0,1357.77,1560.0,1458.885,101.11500000000001,1357.77,2.0,1.0,114.0,1.57,0.32999999999999985,1.7349999999999999,1.57,0.0,6.5,4.5,2.0,0.0,0.0,0.5,0.5,11.07,9.48,1.5900000000000003,7.89,0.0,0.0,209.5,136.47261428571431
mp-3618,4.16,11.0,78.0,46.6,28.479999999999997,11.0,1687.0,1814.0,1762.6,60.48000000000002,1687.0,3.0,0.48,138.8,1.36,0.5399999999999998,1.6700000000000004,1.36,0.8,4.4,1.4400000000000002,3.0,4.4,4.0,6.0,2.4,22.235,19.216,3.3943999999999996,20.44,0.773,0.30920000000000003,214.2,115.97740166500172
mp-1025557,9.75,50.0,83.0,68.5,14.5,83.0,317.3,2896.0,1324.65,1007.35,317.3,6.0,0.75,123.5,1.88,0.31000000000000005,2.105,2.19,1.5,6.25,1.375,5.0,2.0,3.0,3.75,1.125,22.5702380952,17.7688690476,4.801369047600001,22.5702380952,1.625,0.8125,106.75,168.81548582251062
mp-755920,6.65625,43.0,87.0,69.875,20.15625,87.0,54.8,1941.0,763.15625,883.3828125,54.8,4.0,0.9375,101.875,1.54,1.9,2.6775,3.44,2.375,5.125,0.875,6.0,3.0,2.0,4.375,2.71875,16.69,12.65734375,3.5523437500000004,9.105,6.437,0.804625,103.0,173.73063632507845
