material_id,E,U,Y,El
mp-23425,12.89782368,280.3936,399.81,15.09351359
mp-23513,15.86076627,346.1512,394.79,14.42308611
mp-15951,40.15751383,320.9588,278.765,9.455635535
mp-27839,17.73699334,328.574,439.695,12.57868489
mp-573658,22.36821958,444.0916,438.895,18.98568411
mp-998323,21.69790104,289.6896,422.24,20.57829348
mp-643265,25.15566166,296.4724,451.35,14.59467933
mp-571166,26.34786409,311.446,323.3,18.76217218
mp-626785,29.91192821,396.1428,309.025,9.619518108
mp-867229,34.30040807,272.246,369.655,20.10884788
mp-1880,47.37075234,259.4136,451.125,22.95374275
mp-9845,34.13529515,453.6584,322.915,18.49433369
mp-557259,27.98171078,318.558,462.75,14.94549931
mp-4674,72.89520172,231.7212,319.025,20.24726877
mp-28250,38.75819776,312.3236,451.51,19.27570637
mp-27438,34.94628813,138.0152,226.65,28.69759394
mp-568560,22.08300863,221.14,245.005,28.67039345
mp-4730,40.50550752,176.5972,159.66,30.17633069
mp-4138,36.04535341,478.5732,349.825,11.70564014
mp-8389,38.73477047,341.9016,226.635,11.29105853
mp-14205,39.49858975,438.2728,385.98,19.66161278
mp-634657,39.47555543,402.8716,322.075,9.619518108
mp-1029699,31.23772909,508.2524,372.1,12.36385644
mp-7785,42.75956919,459.6704,428.355,19.49813062
mp-13948,27.44765159,453.2264,372,14.12136301
mp-634431,54.23910121,457.4088,347.425,8.653224278
mp-685055,48.56753373,297.0588,357.895,19.78870235
mp-23193,23.66610884,383.0564,327.415,12.36053324
mp-1039383,40.8790976,280.2376,181.405,14.16692674
mp-7911,40.38604519,482.1072,428.68,17.22588691
mp-862632,47.17716758,368.6296,268.98,10.00236979
mp-22905,48.07075669,369.5984,369.405,11.79130191
mp-736,61.59457023,357.8664,323.205,10.34663805
mp-11175,51.68640834,230.062,232.935,13.78408278
mp-571353,45.64258394,221.0168,286.92,20.34914658
mp-9950,59.37629787,496.964,322.9,8.995172975
mp-8765,44.28569476,462.0724,396.9,13.53036288
mp-570097,59.83730746,408.4684,302.39,9.674706937
mp-23526,22.4081383,310.3024,283.35,12.26843622
mp-9578,56.23359106,411.5376,169.295,10.96522856
mp-540584,42.63080628,489.3852,312.945,17.03031295
mp-561067,61.4001346,435.3152,493.775,12.97872912
mp-10632,28.05071668,187.706,395.065,29.89384648
mp-570354,26.82868802,336.2972,418.415,30.59125397
mp-22913,26.82868802,336.2972,418.415,30.59125397
mp-1866,33.14745097,366.9644,289.225,10.1480627
mp-1013550,57.58128587,362.6172,299.47,14.14941476
mp-315,60.46885303,264.746,481.005,27.83042896
mp-978274,35.82704476,268.894,262.465,18.0680294
mp-982981,48.90800426,398.3384,480.64,13.39308129
mp-867144,36.45997261,314.4396,270.865,19.98990798
mp-20452,55.03609753,378.022,273.925,19.93905548
mp-556125,72.7805425,430.6684,323.475,8.637632044
mp-551,75.00029175,353.8828,178.485,13.55988195
mp-567504,62.14410331,279.4392,567.395,14.89967201
mp-7482,44.37491717,374.4884,312.17,17.30740461
mp-989523,56.55820991,373.0004,384.45,13.49222369
mp-8281,64.77194996,333.1584,284.445,18.29203574
mp-2968,62.91274329,405.406,408.355,20.40512126
mp-2293,52.57477823,365.9828,528.955,20.3605932
mp-760400,73.25068152,404.7208,393.325,12.78831617
mp-6951,74.59642207,380.3708,332.315,15.33794819
mp-13920,59.89711556,323.8744,278.455,18.76447935
mp-28319,46.16319822,255.164,411.815,31.40909217
mp-1008776,98.71027309,508.164,284.65,9.707459261
mp-557772,61.9813422,481.2476,482.525,15.18795354
mp-568436,76.18628334,365.6184,324.405,10.94578583
mp-5473,81.71626174,382.9156,269,9.675459191
mp-7879,76.75484235,412.2424,323.915,19.34142652
mp-753,59.52762439,246.0132,244.395,29.95970068
mp-571566,86.77600614,383.0696,285.055,14.20998345
mp-753712,88.50199909,460.598,521.575,19.47277625
mvc-13133,55.16623635,212.0964,328.77,30.5581558
mp-36779,121.438093,228.0608,295.475,23.8392492
mp-1009083,73.47744581,253.0692,353.205,14.84325467
mp-7931,68.62481605,387.576,224.43,10.95434473
mp-21185,54.466806,255.7292,304.82,25.23333694
mp-11879,66.5413079,312.7908,352.145,17.97488258
mp-30381,71.71876847,390.0996,369.755,17.89043612
mp-754954,33.87017115,326.7548,420.33,30.49987852
mp-9690,86.38440405,324.6956,279.505,16.47021771
mp-5693,76.08567606,395.0384,471.94,13.22211794
mp-7863,66.69125656,389.4668,469.15,18.07908904
mp-31498,60.67465393,490.86,345.8,18.54101446
mp-865867,77.47763969,436.4556,404.91,18.00295249
mp-29643,61.70996812,226.4436,310.18,30.58161854
mp-22400,62.70738886,271.09,416.69,23.73677929
mp-12277,87.58765198,450.1276,355.415,16.97287495
mp-488,50.00428791,308.2416,403.165,30.56886421
mp-568346,83.92998686,473.1052,594.325,16.82798535
mp-104,63.05326914,153.1176,114.455,31.26522946
mp-759877,67.3789576,335.4068,394.205,12.53916473
mp-3201,73.92454369,405.178,252.81,17.55708828
mp-862740,48.39791303,308.954,263.365,18.60973416
mp-753257,53.36973883,330.3052,381.555,13.65712688
mp-865671,86.32103934,350.3316,470.62,18.92181944
mp-997041,120.3589474,432.8544,432.255,14.5818813
mp-8372,101.6429172,383.5752,215.055,9.713320182
mp-753326,54.4636141,368.3252,400.105,14.49459906
mp-977380,70.56619796,348.5408,267.32,13.08193496
mp-27198,69.17996777,245.652,244.29,20.4319087
mp-3822,60.20336071,417.9316,287.47,10.73076718
mp-3524,121.1335911,322.4264,335.295,8.617253949
mp-977580,93.10028043,398.9052,526.37,13.57437061
mp-13916,94.33818859,437.48,254.75,9.58852853
mp-8458,69.60863332,558.6492,343.105,22.24995461
mp-20724,43.821092,298.8352,282.755,17.71716144
mp-6961,55.45981408,425.266,300.925,18.00255847
mp-5193,85.58348915,382.3208,282.99,11.26853908
mp-978277,86.02844682,283.058,454.41,12.8130314
mp-16726,98.37682745,442.552,349.3,10.94607729
mp-862366,82.17166902,511.2416,677.805,19.5139729
mp-12630,109.2048969,265.9016,301.89,14.02674932
mp-1047,99.15527477,377.116,236.815,9.108894854
mp-1371,68.91817233,141.57,140.6,29.54865643
mp-997010,69.24765564,343.7136,431.805,26.84315279
mp-23141,100.9508005,311.766,276.195,11.15381873
mp-11193,97.8719839,417.7728,487.725,16.84311262
mp-4666,97.46158605,215.2052,344.755,21.98516362
mp-18707,68.43992641,409.2648,323.8,13.45201876
mp-1009079,93.213986,423.5512,407.83,19.92261551
mp-5782,71.92404765,280.2416,507.49,18.66498981
mp-8090,93.99520703,292.776,490.85,19.7508514
mp-862337,89.99330848,458.7632,659.605,18.89026426
mp-6498,81.65160041,343.1168,408.96,21.98691366
mp-11471,85.80660724,395.3052,510.415,19.06403537
mp-5175,109.0800625,366.4812,469.15,15.1926296
mp-4083,96.1020965,365.7236,315.315,17.78243808
mp-19148,81.38105066,469.1604,482.755,13.63548031
mp-641365,73.38811565,324.5372,405.755,17.3616336
mp-28797,100.4355377,480.6656,531.65,17.22335151
mp-23558,59.92198134,339.4668,442.205,24.90810152
mp-241,75.07503695,279.928,352.705,23.00202743
mp-7589,143.2346624,352.922,218.11,9.356362604
mp-34,131.9824693,206.1668,196.11,21.8226889
mp-10649,131.9824693,206.1668,196.11,21.8226889
mp-1025173,140.2198271,411.6024,559.82,14.34883953
mvc-15272,117.550627,484.3628,377.805,10.86446426
mp-504,50.27448348,346.3572,466.7,23.14939292
mp-567097,99.86411331,422.054,392.29,19.06030305
mp-19308,105.3301839,481.6284,391.555,12.977411
mp-6326,164.9458292,353.9792,315.2,8.976566965
mp-9127,114.1326866,293.3012,279.97,14.5401371
mp-22493,74.05771482,498.1792,478.575,23.93418134
mp-865793,100.6144606,728.654,691,11.62761141
mp-8409,110.4754092,479.0568,439.22,12.01195342
mp-8145,119.7293908,480.2448,443.47,12.01195342
mp-6564,133.5372607,378.9952,221.715,10.71645249
mp-11693,88.17002026,399.728,446.9,29.0603941
mp-3163,149.0367632,325.7944,318.72,13.86407219
mp-9463,134.4601312,368.794,729.555,17.01089917
mp-1029733,116.2167651,383.4984,274.015,9.334513912
mp-11918,163.1266193,391.2308,243.38,9.310448338
mp-16493,152.5325333,442.848,729.14,12.34741618
mp-6008,137.7223823,351.0456,215.02,9.117754935
mp-3432,126.8653489,480.3752,778.5,19.26750226
mp-2647,98.47984175,400.396,496.07,25.33907636
mp-1559,156.2896399,332.1716,206.77,8.697257827
mp-24650,135.6724011,410.094,496.195,13.63436929
mp-11697,135.8614474,335.4052,527.3,24.13990393
mp-3679,120.9789621,377.8256,517.49,25.00436756
mp-1038,99.01986271,341.6844,279.91,17.05486765
mp-862887,104.6577407,555.4936,612.4,11.45269584
mp-20557,140.8814365,494.1484,637.5,13.76258766
mp-1401,131.3204544,315.8984,483.745,15.86641535
mp-2187,126.7431072,366.164,749.155,17.62900459
mp-9381,126.3590615,477.0812,743.3,18.1830898
mp-1471,125.700722,382.6572,584.1,12.81177885
mp-989513,129.344304,438.8868,300.92,11.21351172
mp-865520,88.90213676,403.2,499.245,16.84527543
mp-504908,170.9551776,257.2528,483.125,23.70966981
mp-974973,128.6067933,372.9048,456.35,17.61061715
mp-753657,132.5159089,431.8088,522.15,14.17568081
mp-7801,138.4191341,377.302,333.495,14.92723289
mp-11578,130.974279,295.828,408.415,19.47201481
mp-29633,92.46927283,489.636,307.405,19.30256283
mp-31081,190.1743183,330.9868,532.15,13.85818352
mp-22167,131.3594586,447.5716,751,14.60183631
mp-4656,185.3546614,409.5176,716.57,13.15203266
mp-11176,127.827812,556.2944,411.505,17.01452668
mp-1265,135.5419206,368.7156,247.34,9.283149023
mp-549706,135.5419206,368.7156,247.34,9.283149023
mp-769111,142.7335836,329.134,480.025,14.77448636
mp-17017,161.4640725,366.6636,542.805,18.59826455
mp-989530,90.17306739,402.116,355.305,10.85284342
mp-865043,88.46861067,380.892,290.3,20.0873238
mp-1868,180.2416232,423.2376,650.1,14.72493133
mp-11684,169.9744437,274.8056,311.025,21.80834595
mp-7000,169.9744437,274.8056,311.025,21.80834595
mp-11550,116.5973418,683.2168,674.6,14.04956688
mp-979115,109.201072,937.78,693.7,14.58701379
mp-846,199.2343415,429.8596,565.17,13.94163317
mp-594,141.1252538,383.0536,465.785,23.07935922
mp-1007961,121.8184637,388.3816,402.78,19.88938629
mp-22868,133.0089214,410.974,452.7,28.4016407
mp-10000,168.1946045,560.6804,588.05,18.01985491
mp-867119,107.2963823,545.8188,414.4,19.20180399
mp-20757,170.9980221,345.8368,497.45,20.79643577
mp-28024,92.39362797,443.2284,354.65,19.47000299
mp-11364,131.803697,384.7804,595.85,16.65520092
mp-489,186.3839985,263.016,504.52,29.99710558
mp-1018672,208.102975,330.7736,357.305,25.52997146
mp-2008,187.3462096,368.142,447.21,23.54454955
mp-9460,142.4180615,297.4108,334.39,25.09677314
mp-3791,159.574145,573.8376,1068.6,19.15996171
mp-571193,239.3033413,220.3976,526.06,15.08182079
mp-1018714,148.2504832,481.616,525.505,20.57045931
mp-4627,233.1381274,387.5752,480.32,21.49546661
mp-569785,108.8750309,301.5384,266.5,29.24124885
mp-865929,114.0650293,299.4616,484.65,28.83941756
mp-978009,113.2854799,323.38,419.615,28.35820686
mp-24286,118.5651615,405.3492,464.595,13.16087941
mp-20481,97.43509416,348.7672,387.39,23.18060117
mp-754759,152.5520859,445.3108,434.065,10.93057847
mp-753490,163.2401783,405.8428,637.755,15.63696436
mp-559276,128.7500952,322.3632,450.39,22.16143578
mp-30444,330.5751135,362.304,235.34,12.81255943
mp-4170,228.5527455,468.022,420.17,13.38188276
mp-15607,235.1570083,458.1264,295.28,10.32209785
mp-571622,254.6753997,381.66,199.49,14.50833058
mp-19955,165.1589678,448.396,478.31,24.14938398
mp-1025161,123.6662012,344.112,367.915,27.67205355
mp-1008610,99.20932168,367.2952,474.5,29.12670728
mp-866073,150.8047484,470.024,390.9,18.18911783
mp-10214,151.5697025,493.6668,674.355,19.02429344
mp-19247,155.4547165,404.5868,500.65,10.94705526
mp-30594,131.30678,327.008,273.02,30.5111398
mp-10125,154.7795293,398.6228,437.27,29.22132991
mp-867293,197.0747638,1037.118,548.27,16.98105253
mp-31457,139.7444329,481.3724,622.605,18.80013752
mp-1069,242.2709367,465.5132,583.95,14.79346331
mp-961711,159.6368505,598.302,518.755,18.69892782
mp-608366,195.0062186,218.24,401.04,20.40769981
mp-971909,120.5810753,309.6524,342.13,30.36505334
mp-8697,198.1076445,416.6116,466.02,10.7172137
mp-1016877,131.4236965,353.616,285.34,19.96691611
mp-643945,158.9298472,501.1096,575.09,13.3025078
mp-568014,165.4170147,479.1756,572.205,17.64838989
mp-754678,224.0711687,448.2192,305.085,13.35320491
mp-6073,218.5540535,313.1716,218.94,9.220731877
mp-631303,168.5931112,433.8952,500.205,31.47245699
mp-1029536,198.7074773,392.7368,333.41,10.1332045
mp-570199,139.57979,371.1024,524.85,16.88584093
mp-18919,131.5193053,480.0308,401.925,21.94539728
mp-1016819,160.2802556,405.202,313.485,17.71226078
mp-6304,192.3499967,324.9156,318.72,13.99598193
mp-1936,217.5667476,549.6492,725.405,24.2985543
mp-29896,285.0363204,524.514,489.64,13.90376068
mp-505297,153.2223425,473.3748,606.255,16.49356254
mp-4753,208.8804854,258.068,322.025,18.64999679
mp-776475,240.4911266,258.6356,312.55,18.64827078
mp-1938,240.4911266,258.6356,312.55,18.64827078
mp-759943,240.4911266,258.6356,312.55,18.64827078
mp-19417,168.5010766,469.0328,661.89,12.88104833
